doc_id,publish_time,zero_shot_score,rule_enhanced_score,zero_shot_confidence,rule_enhanced_confidence,zero_shot_evidence_text,rule_enhanced_evidence_text,activated_rule_ids,model,request_id,rulebook_sha256,annotation_input_sha256,prompt_version
CNINFO-002497-1222380040,2025-01-21,0.4,0.0,0.6,0.6,报告期内， 锂盐产品销量大幅增 加， 优质头部客户订单稳定，公司加强生产运营各环节管控， 加强矿、 产、 销平衡， 提高 效率，降低成本，使公司全年经营业绩回升向好，较去年同期有所增长。,,[],deepseek-v4-flash,741b1c6c-547e-462e-a355-b9a52c093beb,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,80698a7b53540ea88cd7bca758ae59d5a188d0d0da72570130705376a195632b,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
GFEX-WR-20250121,2025-01-21,-0.2,0.0625,0.3,0.15,仓单减少1177手,仓单减少1177手,"[""LC-BULL-01""]",deepseek-v4-flash,ad3cb85a-1de7-4ca1-9cc1-afc9926ccc88|de4a4f3e-b2be-4ebb-8d47-383aa42e4583,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,3e986094cefc9c36c50062fd7291027cddb035ee58e9d04af2f76c1bcfbb28ce,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-002460-1222390209,2025-01-22,0.2,0.0,0.6,0.6,公司开展商品期货期权套期保值业务旨在充分利用金融市场套 期保值功能，降低生产经营因锂盐价格波动给公司带来的经营风险， 提高公司整体抵御风险能力， 增强财务稳健性， 符合公司业务发展及 日常经营需要， 有利于公司长期稳健发展。,,[],deepseek-v4-flash,384c8059-6940-42ef-b5d5-c858ff27bc04,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,9e7e1fc301d3ec35b9bd72b9d8e32feacd1ea1038d68eaa40dd94fc4f069bd71,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
GFEX-WR-20250122,2025-01-22,-0.2,0.06254147312541472,0.3,0.11363636363636363,碳酸锂仓单总量为47966手，减少1985手。,仓单减少1985手,"[""LC-BULL-01""]",deepseek-v4-flash,9fe6024e-b2eb-4dfa-a28f-386e87863329|feabe0bc-7d31-4c45-9f32-73f416760ea0,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,9468e8b7019da69a943384bd1b4bbf90bac19e26b650f4837c8d629db4a2bc19,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
LC-TEXT-0016,2025-01-23,0.1,0.0,0.2,0.2,"2024年12月新能源汽车出口量15万台，同比增7%，环比上月增12%；
2024年全年新能源汽车累计出口量201万台，同比增长12%。",,[],deepseek-v4-flash,e05553c3-ff49-4e62-b6ba-137457b2008e,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,08944afa6a9798938c2ff48deeee0a59fd6f923ef52bef81bb4a10c76798b8c3,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-002240-1222418663,2025-01-24,-0.2,0.0,0.4,0.4,锂盐价格较去年同期大幅下降，影响了公司本报告期的业绩。,,[],deepseek-v4-flash,3a0093e3-5baa-4216-9563-25b78e06247a,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,878173c0d28c954cd38ec90d429f1d998a176c6d873e001ac94aa9cf274ab56d,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-002466-1222419650,2025-01-24,-0.2,0.0,0.6,0.6,尽管公司2024年度及2024年第四季度锂化合物及衍生品的产销量分别实现同比、 环比增长，但受到锂产品市场波动的影响，本报告期内锂产品的市场价格整体呈现大幅 下滑趋势，公司锂产品销售价格及毛利较上年同期大幅下降。,,[],deepseek-v4-flash,ba488bea-9776-4513-8661-eeab8049031a,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,9ff4594ad372349ed981ff87a071e05b6117fcd48475abbc59443b9450f74f9f,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-002466-1222419651,2025-01-24,-0.5,0.0,0.7,0.7,"目前， 一期氢氧化锂项目处于 产能爬坡阶段，二期氢氧化锂项目处于暂缓建设阶段。
经初步测算，公司 预计在2024年计提在建工程及使用权资产减值准备合计约 14.12亿元人民币（不包含一 期氢氧化锂项目（如有） ）。
此外，截至本公告日， 公司澳洲氢氧化锂项目的减值测试工作仍在进行中。",,[],deepseek-v4-flash,b0d0dea8-51b8-4af1-9ef5-831c8c21d576,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,d4270d6b55c7e00b38282fd4c0ede2a7813f41d51f0d1025e9b8d5adf7de153d,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-002466-1222419653,2025-01-24,-0.2,0.0,0.6,0.6,基于市场环境及 项目最新的经济可行性分析，公司拟终止投资建设二期氢氧化锂项目。,,[],deepseek-v4-flash,fda4b9b6-df34-43b5-bc37-7be416eb2f31,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,ba708103ca78ee7f4d3143d1657b6e33851080327fc9e163ccef93d5e5983b50,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-002460-1222431395,2025-01-25,-0.6,0.0,0.7,0.7,本报告期内，主要系受锂产品市场波动的影响，锂盐及锂电 池产品销售价格下跌， 虽然产品出货量同比增加， 但公司经营业绩同 比大幅下降。,,[],deepseek-v4-flash,760bbbdb-c149-465f-b270-ff85b32f9f50,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,2eada4f70c12405da3ef14b2fe71d02c1d8c6c886e2c7ca30c7b51054f79ac66,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
GFEX-WR-20250127,2025-01-27,-0.2,0.0,0.3,0.3,仓单增加1000手,,[],deepseek-v4-flash,87c085f8-6e1a-4f13-a2e4-265376bb0d26,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,3bc44bf44bd92e59a096756cadda8ca952538fff3e668a1daa85ca3eb3d1ab10,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
LC-TEXT-0017,2025-02-04,0.2,0.0,0.3,0.3,共计有271家储能系统集成商以参与了储能项目的投标，183家企业有所斩获,,[],deepseek-v4-flash,f13e3403-efc2-471b-bc27-a264de7ff711,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,005391067da945df1c6529927e6142ebb8a82817e787c5fe436ca8c52521bb9f,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-002594-1222456351,2025-02-05,0.2,0.0,0.3,0.3,本公司 2025 年 1 月新能源汽车动力电池及储能电池装机总量约为 15.511GWh,,[],deepseek-v4-flash,e82e24dd-e124-4dd2-bdf4-d7eea4421453,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,1f4f69bdfc3c53cf61d7292e0d8461ac11014bc426ab00a9ec60b12590f9e303,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-300390-1222484334,2025-02-07,0.1,0.0,0.2,0.2,公司将通过合资公司建设一座尼日利亚领先的锂矿开采、选 矿、尾矿处理现代化工厂，并负责管理和运营。,,[],deepseek-v4-flash,1ff80e26-96dc-478b-ae1f-022fa78b459f,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,5398ac3c43492e5faf19e766a4dd635132f4c13f4a2ad22ef04bf45391af008d,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
GFEX-WR-20250210,2025-02-10,-0.1,0.0625,0.2,0.1136,广期所碳酸锂仓单日报：仓单减少880手,仓单减少880手,"[""LC-BULL-01""]",deepseek-v4-flash,f44649df-2db0-4144-b51a-546fd411b745|bc84b3f0-1716-4fc8-a28d-fc241687959f,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,593b4e4f9946b359e56549b9573b4d1cfa9fa58d7b032df19ed63ae9d76945c5,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
GFEX-WR-20250213,2025-02-13,-0.2,0.06254147312541472,0.3,0.11363636363636363,仓单减少1009手,广期所碳酸锂仓单日报：仓单减少1009手,"[""LC-BULL-01""]",deepseek-v4-flash,3e0cdc89-1790-4505-abcd-1b66c02cc708|53b26aeb-0e63-4437-afe1-a4107ac5804b,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,007b3c893083b2357e7aa1f1adea769dc3ed3da6b0c7cabade7818153d6ab616,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-002460-1222536441,2025-02-14,-0.2,0.0,0.5,0.5,Mariana锂盐湖项目一期规划年产能2万吨氯 化锂生产线正式投产后，公司将积极加快推动该项目产能爬坡进度， 随着产能的逐步释放，将进一步优化公司锂资源的供应及成本结构， 提高公司的盈利能力，不断提升公司在全球市场的核心竞争力。,,[],deepseek-v4-flash,9276aa83-e566-4b52-9b00-d05fe0889b1a,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,606126111e09d2f1aee3284c3842290478aabcb5244baf91cbbbca46395810e3,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-002466-1222581162,2025-02-20,-0.2,0.0,0.5,0.5,"二期氢氧化锂项目经公司于2025年 1月23日召开的第六届董事会第二十次会议审议通过后，已终止投资建设。
具体内容详见公司于2025年1月24日刊载在 指定信息披露媒体及巨潮资讯网（http://www.cninfo.com.cn）的《关于终止投资建设第 二期年产2.4万吨电池级单水氢氧化锂项目的公告》 （公告编号：2025-003）。
公司根据《企业会计准则》 《深圳证券交易所股票上市规则》及公司相关制度，基 于谨慎性原则，为更真实、 准确地反映公司截止2024年12月31日的财务状况、 资产价值 及经营成果， 公司及下属子公司对相关资产进行全面充分的清查、 分析和评估， 对截至 2024年12月31日可能发生减值迹象的资产进行减值测试后， 预计计提资产减值准备合计 约21.63亿元人民币（其中包括二期氢氧化锂项目相关资产减值14.12亿元，不包含一期 氢氧化锂项目（如有） ）。
二、本次计提资产减值准备进展情况 截至本公告披露日，公司控股子公司TLEA管理层已就上述氢氧化锂项目执行资产
2 减值测试， 根据TLEA管理层目前提交的管理账目，TLEA管理层结合第三方机构的价格 预测、第三方工程公司报告、公司历史运营情况等信息，综合评估认为，TLEA不需要 对一期氢氧化锂项目计提资产减值准备；",,[],deepseek-v4-flash,ba1869f6-6a2f-4bfb-9260-3507c3be24a0,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,c3881708f4a40f9141c38a98a8fe128700241cc5eacefc20b808c7d2b771be04,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
GFEX-WR-20250227,2025-02-27,-0.2,0.0,0.3,0.3,仓单增加1564手,,[],deepseek-v4-flash,ae0187ff-4d4b-4cac-9776-c9474f30e295,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,5a4984c70aa00b7eba0398b268a297bc775f992dbd44725e3f290f5cacecba35,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-002594-1222683514,2025-03-03,0.6,0.0,0.5,0.5,2025 年 2 月新能源汽车动力电池及储能电池装机总量约为 16.695GWh，2025 年累计装机总量约为 32.206GWh。,,[],deepseek-v4-flash,4a3abfc0-4ce2-476c-9a13-fa7f800b3735,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,f4689ec856bcdcb3716306a2e303a2966a44cf119bd8c06c581e4bdfa6abe80f,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
GFEX-WR-20250306,2025-03-06,-0.1,0.0625,0.3,0.1136,仓单减少1982手,碳酸锂仓单总量为44439手，减少1982手。,"[""LC-BULL-01""]",deepseek-v4-flash,31317a87-434d-4b49-adb3-9256e003e679|001fdbbd-fa54-4c88-98fa-ae29e24153b2,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,6dab8c349438f775f7bd9d013f68efaedb293a1a38141a5b52feee207174791e,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
GFEX-WR-20250307,2025-03-07,-0.2,0.06254147312541472,0.3,0.11363636363636363,仓单减少1993手,仓单减少1993手,"[""LC-BULL-01""]",deepseek-v4-flash,aa4830bb-58d3-43ab-b3be-1228499f4f7d|71f0e049-1bc2-4dbe-9a54-0f3dfd2a5624,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,b8c6012af806b09c1d662b6952b297448d0c48c682e5274fda4ef91e1be88e3f,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
GFEX-WR-20250310,2025-03-10,-0.3,0.0625,0.3,0.1136,仓单减少3878手,仓单减少3878手,"[""LC-BULL-01""]",deepseek-v4-flash,28dabff9-37a2-42f1-a6a7-e6dc7700b755|dfa96809-5cb1-469e-8609-bc899a7af347,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,63c68c452e7229045bfc901238ed517e34f49c6deed032e71274c8c898b94cf1,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
GFEX-WR-20250313,2025-03-13,-0.1,0.06254147312541472,0.3,0.11363636363636363,碳酸锂仓单总量为36922手，减少1610手。,仓单减少1610手,"[""LC-BULL-01""]",deepseek-v4-flash,340cb379-31a7-4029-ac62-1faeb9be01b8|f6cf9676-3a08-41d5-b268-6fd54dd6c1de,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,0e580acc8f1a31e94b3952e3b961cb69007388e50871232806c57d6a63481f33,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
GFEX-WR-20250314,2025-03-14,-0.1,0.0625,0.3,0.6,仓单减少967手,仓单减少967手,"[""LC-BULL-01""]",deepseek-v4-flash,01c708d8-45cd-4e82-98fa-a6dced8265cf|a851362f-d720-450f-ba40-c4ab110b4925,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,fd44c174abe2346be2c01cd39dba2450e325e464fb239767007c4d78e5120d52,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
GFEX-WR-20250319,2025-03-19,-0.1,0.0,0.3,0.3,仓单增加860手,,[],deepseek-v4-flash,ba30fe31-7e29-4160-81b4-9750a2c6e979,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,e1aff1c41372f245d2877b8e0596a49e657a10895bda2f6844197e3d0a797fff,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-300390-1222857555,2025-03-20,0.2,0.0,0.4,0.4,本次取得江西省奉新县金子峰—宜丰县左家里矿区陶瓷土 （含锂） 矿采矿权 证， 有助于公司增加锂矿资源的储备， 有效保障公司锂矿资源供应， 增强公司核 心竞争力。,,[],deepseek-v4-flash,34b7c4bb-9a0b-4d76-baad-40b0dcd0915a,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,b4221131b526c5566097a47670ee033d008a435f5a489be040e07bf9d311552b,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-300390-1222857559,2025-03-20,0.1,0.0,0.3,0.3,近年来， 锂电材料价格波动巨大， 为降低市场价格波动给公司带来的经营风险， 保持公司经营业绩持续稳定，公司拟利用期货衍生品等工具的避险保值功能，根据 生产经营计划择机开展期货套期保值业务,,[],deepseek-v4-flash,d19c9f39-262c-42a1-a035-9b76afea3ca3,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,70fd7aa238508bbf156499b8447b85d358f8f712517cb125d3614bcabfa09ab4,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
GFEX-WR-20250320,2025-03-20,-0.2,0.0,0.3,0.3,广期所碳酸锂仓单日报：仓单增加1249手,,[],deepseek-v4-flash,2fa96c3a-bbfa-4d41-93ae-93fe204bc7b6,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,c78b16c8aa098fa0369739a5ed79c48bfc265683a6d328c7346451d89c6825df,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-002240-1222870682,2025-03-22,0.1,0.0,0.4,0.4,"公司主要从事锂电新能源材料业务， 主要产品为碳酸锂、 氢氧化锂等锂盐产 品， 生产经营过程中需要纯碱和烧碱作为重要原材料。
为降低原材料及产品价格 波动给公司带来的经营风险， 保持公司经营业绩持续、 稳定， 公司及控股子公司 拟利用期货工具的避险保值功能，根据生产经营计划择机开展锂盐、 纯碱和烧碱 的商品期货套期保值业务， 有效降低原材料及产品市场价格波动风险， 保障主营 业务稳步发展。",,[],deepseek-v4-flash,7eac8d10-29ce-4009-a139-dc0f01a24bef,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,83cc5cb748e3d12d067e2dbf3ba2314a5f2cf92d46be37cfd306a38e2847e5ca,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
GFEX-WR-20250324,2025-03-24,-0.2,0.0625,0.3,0.62,碳酸锂仓单日报：仓单减少824手,碳酸锂仓单总量为36763手，减少824手。,"[""LC-BULL-01""]",deepseek-v4-flash,a337332f-6f93-498c-a96a-7ae691e0d6bf|af1b7ec5-5edd-447a-82eb-d4651d63e0f2,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,06c5daa1903d0470440ec2df71e1999e416d8af4b20210d9babc06aa4b11ada0,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-002756-1222881575,2025-03-25,-0.2,0.0,0.4,0.4,公司开展套期保值业务不以逐利为目的，主要为有效降低产品市场价格剧烈波动 对公司经营带来的影响，但同时也会存在一定的风险,,[],deepseek-v4-flash,0f60c369-2737-454f-a9ea-ed2b8198afa4,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,bbfd2be23079a3549402f3db8d12fc8f79103313b6c56a9c84599a571929a106,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-002466-1222913085,2025-03-27,-0.2,0.0,0.5,0.5,2025 年 1 月， 公司终止了预估不具有经济性的奎纳纳 “第二期年产2.4 万吨电池级 单水氢氧化锂项目”。,,[],deepseek-v4-flash,b74007be-89a6-4fee-b9a6-e43012914c78,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,66650f63e86c6f76a129a7841ba5d6937f1817ff6a4d6314ba0f54edb29898f2,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-002466-1222913106,2025-03-27,0.2,0.0,0.3,0.3,近年来， 公司主营产品的市场价格波动较大， 给公司的生产 经营带来较大的风险。,,[],deepseek-v4-flash,6ae71e34-f7c8-4614-9044-d65477d9d1fd,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,333ea47f8ab32a82e738c3e1da339a3788b852f619e508a22b7fc358fc54b035,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-000408-1222950983,2025-03-29,0.2,0.0,0.4,0.4,"公司是一家专业性的矿业公司， 自2002 年成立以来， 扎根青海察尔汗盐湖， 依托 724.35 平方公里的盐湖资源，专注于国家战略性矿产资源的投资和开发。
公司始终秉承“持续开发盐湖资源、作绿色发展引领者”的企业使命，主动服务国 家战略， 经过多年的发展已成长为国内第二大氯化钾生产企业， 并在此基础上进 一步布局碳酸锂开发， 逐步发展成以钾锂双轮驱动的增长模式。",,[],deepseek-v4-flash,bfa709ce-b911-4826-b58b-6b4586537731,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,3e5415271b9b0eb50b6889f082d3016420791bd03bb24b0a35c924bd1df4ad10,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-000792-1222951139,2025-03-29,0.2,0.0,0.6,0.6,报告期内， 公司核心产品氯化钾与碳酸锂的生产与销售态势平稳。,,[],deepseek-v4-flash,c3b54a9d-199a-4c95-8cd2-985817c89935,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,47f249dadcc78e3de45d5690fadf25a84d42c6b67218b449d8f8ba2ac990ef10,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-000792-1222951148,2025-03-29,0.0,0.0,0.2,0.2,青海盐湖工业股份有限公司关于2025年日常关联交易预计的公告,,[],deepseek-v4-flash,2f94587b-2654-4ae8-90be-ba4865072454,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,0d9eafbbb92fa27983111018a9060c6011d2e156eb99ae515e8a3ab0ecb930b9,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
CNINFO-000792-1222951150,2025-03-29,-0.1,0.0,0.5,0.5,"即便公司核心主营产品氯化钾与碳酸锂， 因国际市场价格起 伏、 国内供需关系变化以及运输成本波动等因素， 价格出现一定
波动， 但公司迅速响应， 凭借科学持续地优化生产流程与精细化 管理库存， 有效确保了市场的稳定供应， 合理调控价格波动区间， 为公司经营稳定与盈利能力的维系提供了有力支撑。",,[],deepseek-v4-flash,4314cf59-b9f2-478f-9758-895816aafa7d,64bdfd1749c3768b2a971305d7c1eb63a5e9d103071da13d4fc7b4a040e2dc3a,c0ee2466e8a59e7fca6e4ef184924da440507b26a8b4b1fb6b6489b509796e4e,lithium-v3-deepseek-v4-flash-direction-v2-explicit-contract
