event_id,doc_id,stock_code,event_type,predicate_name,value,confidence,rationale,manual_review_result,manual_comment
E105,S033,601012,policy_support,evidence_from_authoritative_source,true,0.94,来源为工业和信息化部,,
E105,S033,601012,policy_support,social_attention_spikes,false,0.68,单条来源不足以证明关注度显著上升,,
E105,S033,601012,policy_support,event_evidence_strength,0.94,0.92,沿用事件抽取阶段的证据强度评分,,
E105,S033,601012,policy_support,event_has_short_term_price_impact,0.78,0.70,基于事件类型的先验市场反应强度，用于规则归纳初始特征,,
E142,S041,601633,policy_support,has_policy_support,true,0.96,事件类型为 policy_support,,
E142,S041,601633,policy_support,policy_directly_related_to_business,false,0.78,政策原文证据未明确涉及整车主营业务或核心产品,,
E142,S041,601633,policy_support,evidence_from_authoritative_source,true,0.94,来源为中国政府网,,
E142,S041,601633,policy_support,social_attention_spikes,false,0.68,单条来源不足以证明关注度显著上升,,
E142,S041,601633,policy_support,event_evidence_strength,0.94,0.92,沿用事件抽取阶段的证据强度评分,,
E142,S041,601633,policy_support,event_has_short_term_price_impact,0.78,0.70,基于事件类型的先验市场反应强度，用于规则归纳初始特征,,
E198,S059,002202,capacity_expansion,has_policy_support,false,0.88,事件不是政策利好类型,,
E198,S059,002202,capacity_expansion,policy_directly_related_to_business,false,0.78,政策原文证据未明确涉及风电主营业务或核心产品,,
E198,S059,002202,capacity_expansion,evidence_from_authoritative_source,false,0.72,来源为证券日报,,
E198,S059,002202,capacity_expansion,social_attention_spikes,false,0.68,单条来源不足以证明关注度显著上升,,
E198,S059,002202,capacity_expansion,event_evidence_strength,0.78,0.92,沿用事件抽取阶段的证据强度评分,,
E198,S059,002202,capacity_expansion,event_has_short_term_price_impact,0.63,0.70,基于事件类型的先验市场反应强度，用于规则归纳初始特征,,
E220,S063,601633,attention_spread,has_policy_support,false,0.88,事件不是政策利好类型,,
E220,S063,601633,attention_spread,policy_directly_related_to_business,false,0.78,政策原文证据未明确涉及整车主营业务或核心产品,,
E220,S063,601633,attention_spread,evidence_from_authoritative_source,false,0.72,来源为腾讯新闻,,
E220,S063,601633,attention_spread,social_attention_spikes,true,0.82,新闻原文包含可量化或多源关注扩散线索,,
E220,S063,601633,attention_spread,event_evidence_strength,0.76,0.92,沿用事件抽取阶段的证据强度评分,,
E220,S063,601633,attention_spread,event_has_short_term_price_impact,0.68,0.70,基于事件类型的先验市场反应强度，用于规则归纳初始特征,,
E287,S085,300763,policy_support,has_policy_support,true,0.96,事件类型为 policy_support,,
E287,S085,300763,policy_support,policy_directly_related_to_business,false,0.78,政策原文证据未明确涉及储能主营业务或核心产品,,
E287,S085,300763,policy_support,evidence_from_authoritative_source,true,0.94,来源为国家发展改革委,,
E287,S085,300763,policy_support,social_attention_spikes,false,0.68,单条来源不足以证明关注度显著上升,,
E287,S085,300763,policy_support,event_evidence_strength,0.94,0.92,沿用事件抽取阶段的证据强度评分,,
E287,S085,300763,policy_support,event_has_short_term_price_impact,0.78,0.70,基于事件类型的先验市场反应强度，用于规则归纳初始特征,,
E380,S110,000625,inquiry_letter_pressure,has_policy_support,false,0.88,事件不是政策利好类型,,
E380,S110,000625,inquiry_letter_pressure,policy_directly_related_to_business,false,0.78,政策原文证据未明确涉及整车主营业务或核心产品,,
E380,S110,000625,inquiry_letter_pressure,evidence_from_authoritative_source,true,0.94,来源为巨潮资讯网,,
E380,S110,000625,inquiry_letter_pressure,social_attention_spikes,false,0.68,单条来源不足以证明关注度显著上升,,
E380,S110,000625,inquiry_letter_pressure,event_evidence_strength,0.88,0.92,沿用事件抽取阶段的证据强度评分,,
E380,S110,000625,inquiry_letter_pressure,event_has_short_term_price_impact,0.58,0.70,基于事件类型的先验市场反应强度，用于规则归纳初始特征,,
E412,S119,000625,attention_spread,has_policy_support,false,0.88,事件不是政策利好类型,,
E412,S119,000625,attention_spread,policy_directly_related_to_business,false,0.78,政策原文证据未明确涉及整车主营业务或核心产品,,
E412,S119,000625,attention_spread,evidence_from_authoritative_source,false,0.72,来源为工业和信息化部,,
E412,S119,000625,attention_spread,social_attention_spikes,true,0.82,新闻原文包含可量化或多源关注扩散线索,,
E412,S119,000625,attention_spread,event_evidence_strength,0.76,0.92,沿用事件抽取阶段的证据强度评分,,
E412,S119,000625,attention_spread,event_has_short_term_price_impact,0.68,0.70,基于事件类型的先验市场反应强度，用于规则归纳初始特征,,
