event_id,doc_id,source_type,title,stock_code,stock_name,industry_sector,event_type,event_time,evidence_strength,has_policy_support,policy_directly_related_to_business,evidence_from_authoritative_source,social_attention_spikes,forward_return_5d,demo_return_direction,manual_case_priority
E046,S013,news,2024年产销均超1280万辆 中国新能源汽车连续十年全球领跑|上海证券报,601127,赛力斯,整车,attention_spread,2025-01-14,0.76,false,false,true,true,0.006695,positive,P2
E047,S013,news,2024年产销均超1280万辆 中国新能源汽车连续十年全球领跑|上海证券报,000625,长安汽车,整车,attention_spread,2025-01-14,0.76,false,false,true,true,-0.006421,negative,P2
E065,S021,policy,国家能源局关于促进新型储能并网和调度运用的通知 国能发科技规〔2024〕26号,605117,德业股份,储能,policy_support,2024-04-02,0.94,true,true,true,false,-0.123410,negative,P1
E066,S021,policy,国家能源局关于促进新型储能并网和调度运用的通知 国能发科技规〔2024〕26号,300763,锦浪科技,储能,policy_support,2024-04-02,0.94,true,true,true,false,-0.038370,negative,P1
E067,S021,policy,国家能源局关于促进新型储能并网和调度运用的通知 国能发科技规〔2024〕26号,688390,固德威,储能,policy_support,2024-04-02,0.94,true,true,true,false,0.008533,positive,P1
E068,S021,policy,国家能源局关于促进新型储能并网和调度运用的通知 国能发科技规〔2024〕26号,002335,科华数据,储能,policy_support,2024-04-02,0.94,true,true,true,false,-0.037651,negative,P1
E069,S021,policy,国家能源局关于促进新型储能并网和调度运用的通知 国能发科技规〔2024〕26号,688063,派能科技,储能,policy_support,2024-04-02,0.94,true,true,true,false,-0.053566,negative,P1
E070,S022,announcement,关于2025年度计提信用减值准备和资产减值准备的公告,300274,阳光电源,光伏,earnings_quality_anomaly,2026-04-01,0.88,false,false,true,false,-0.058432,negative,P2
E071,S023,news,2025年国内动力电池装车量769.7GWh 同比增长40.4%_腾讯新闻,300750,宁德时代,锂电,attention_spread,2026-01-16,0.76,false,false,false,true,-0.012973,negative,P2
E072,S023,news,2025年国内动力电池装车量769.7GWh 同比增长40.4%_腾讯新闻,300014,亿纬锂能,锂电,attention_spread,2026-01-16,0.76,false,false,false,true,-0.029896,negative,P2
E073,S023,news,2025年国内动力电池装车量769.7GWh 同比增长40.4%_腾讯新闻,002074,国轩高科,锂电,attention_spread,2026-01-16,0.76,false,false,false,true,0.003869,positive,P2
E074,S023,news,2025年国内动力电池装车量769.7GWh 同比增长40.4%_腾讯新闻,603659,璞泰来,锂电,attention_spread,2026-01-16,0.76,false,false,false,true,0.064712,positive,P2
E075,S023,news,2025年国内动力电池装车量769.7GWh 同比增长40.4%_腾讯新闻,300450,先导智能,锂电,attention_spread,2026-01-16,0.76,false,false,false,true,0.052746,positive,P2
E076,S023,news,2025年国内动力电池装车量769.7GWh 同比增长40.4%_腾讯新闻,002812,恩捷股份,锂电,attention_spread,2026-01-16,0.76,false,false,false,true,-0.024714,negative,P2
E077,S023,news,2025年国内动力电池装车量769.7GWh 同比增长40.4%_腾讯新闻,300207,欣旺达,锂电,attention_spread,2026-01-16,0.76,false,false,false,true,0.012014,positive,P2
E078,S023,news,2025年国内动力电池装车量769.7GWh 同比增长40.4%_腾讯新闻,300073,当升科技,锂电,attention_spread,2026-01-16,0.76,false,false,false,true,0.027541,positive,P2
E079,S023,news,2025年国内动力电池装车量769.7GWh 同比增长40.4%_腾讯新闻,300438,鹏辉能源,锂电,attention_spread,2026-01-16,0.76,false,false,false,true,-0.057654,negative,P2
E081,S025,policy,关于印发《加快构建新型电力系统行动方案（2024—2027年）》的通知_国务院部门文件_中国政府网,601012,隆基绿能,光伏,policy_support,2024-07-25,0.94,true,false,true,false,0.032328,positive,P1
E082,S025,policy,关于印发《加快构建新型电力系统行动方案（2024—2027年）》的通知_国务院部门文件_中国政府网,300274,阳光电源,光伏,policy_support,2024-07-25,0.94,true,false,true,false,-0.036358,negative,P1
E083,S025,policy,关于印发《加快构建新型电力系统行动方案（2024—2027年）》的通知_国务院部门文件_中国政府网,002202,金风科技,风电,policy_support,2024-07-25,0.94,true,false,true,false,0.036096,positive,P1
E084,S025,policy,关于印发《加快构建新型电力系统行动方案（2024—2027年）》的通知_国务院部门文件_中国政府网,601615,明阳智能,风电,policy_support,2024-07-25,0.94,true,false,true,false,0.005353,positive,P1
E085,S025,policy,关于印发《加快构建新型电力系统行动方案（2024—2027年）》的通知_国务院部门文件_中国政府网,605117,德业股份,储能,policy_support,2024-07-25,0.94,true,false,true,false,0.010615,positive,P1
E086,S025,policy,关于印发《加快构建新型电力系统行动方案（2024—2027年）》的通知_国务院部门文件_中国政府网,300763,锦浪科技,储能,policy_support,2024-07-25,0.94,true,false,true,false,-0.005308,negative,P1
E094,S029,policy,关于2024年可再生能源电力消纳责任权重及有关事项的通知(发改办能源〔2024〕598号),601012,隆基绿能,光伏,policy_support,2024-08-02,0.94,true,false,true,false,-0.026093,negative,P1
E095,S029,policy,关于2024年可再生能源电力消纳责任权重及有关事项的通知(发改办能源〔2024〕598号),300274,阳光电源,光伏,policy_support,2024-08-02,0.94,true,false,true,false,0.055695,positive,P1
E096,S029,policy,关于2024年可再生能源电力消纳责任权重及有关事项的通知(发改办能源〔2024〕598号),002202,金风科技,风电,policy_support,2024-08-02,0.94,true,false,true,false,0.004021,positive,P1
E097,S029,policy,关于2024年可再生能源电力消纳责任权重及有关事项的通知(发改办能源〔2024〕598号),601615,明阳智能,风电,policy_support,2024-08-02,0.94,true,false,true,false,-0.014192,negative,P1
E098,S030,announcement,关于2025年度计提资产减值准备的公告,300014,亿纬锂能,锂电,earnings_quality_anomaly,2026-03-28,0.88,false,false,true,false,-0.156387,negative,P2
E105,S033,policy,工业和信息化部 住房和城乡建设部 交通运输部 农业农村部 国家能源局公告,601012,隆基绿能,光伏,policy_support,2024-03-29,0.94,true,true,true,false,0.000513,positive,P1
E106,S033,policy,工业和信息化部 住房和城乡建设部 交通运输部 农业农村部 国家能源局公告,300274,阳光电源,光伏,policy_support,2024-03-29,0.94,true,true,true,false,-0.018279,negative,P1
E107,S033,policy,工业和信息化部 住房和城乡建设部 交通运输部 农业农村部 国家能源局公告,600438,通威股份,光伏,policy_support,2024-03-29,0.94,true,true,true,false,-0.017098,negative,P1
E108,S033,policy,工业和信息化部 住房和城乡建设部 交通运输部 农业农村部 国家能源局公告,688599,天合光能,光伏,policy_support,2024-03-29,0.94,true,true,true,false,-0.011623,negative,P1
E109,S033,policy,工业和信息化部 住房和城乡建设部 交通运输部 农业农村部 国家能源局公告,002459,晶澳科技,光伏,policy_support,2024-03-29,0.94,true,true,true,false,-0.018846,negative,P1
E110,S033,policy,工业和信息化部 住房和城乡建设部 交通运输部 农业农村部 国家能源局公告,002129,TCL中环,光伏,policy_support,2024-03-29,0.94,true,true,true,false,-0.006009,negative,P1
E111,S034,announcement,国泰海通证券股份有限公司关于国轩高科股份有限公司部分募投项目提前结项并将节余募集资金永久补充流动资金的核查意见,002074,国轩高科,锂电,capacity_expansion,2026-04-29,0.90,false,false,true,false,-0.005867,negative,P1
E112,S035,news,“海上+海外”双驱动 风电行业景气回升|上海证券报,002202,金风科技,风电,attention_spread,2025-07-18,0.76,false,false,true,false,-0.017172,negative,P2
E113,S035,news,“海上+海外”双驱动 风电行业景气回升|上海证券报,601615,明阳智能,风电,attention_spread,2025-07-18,0.76,false,false,true,false,0.033484,positive,P2
E114,S035,news,“海上+海外”双驱动 风电行业景气回升|上海证券报,688349,三一重能,风电,attention_spread,2025-07-18,0.76,false,false,true,false,0.042378,positive,P2
E115,S035,news,“海上+海外”双驱动 风电行业景气回升|上海证券报,002080,中材科技,风电,attention_spread,2025-07-18,0.76,false,false,true,false,0.095524,positive,P2
E116,S035,news,“海上+海外”双驱动 风电行业景气回升|上海证券报,300772,运达股份,风电,attention_spread,2025-07-18,0.76,false,false,true,false,0.012608,positive,P2
E132,S038,announcement,关于2025年度计提资产减值准备的公告,300207,欣旺达,锂电,earnings_quality_anomaly,2026-04-24,0.88,false,false,true,false,0.017160,positive,P2
E133,S039,news,光伏重磅！行业协会最新发声！,601012,隆基绿能,光伏,attention_spread,2024-11-20,0.76,false,false,true,false,-0.033193,negative,P2
E134,S039,news,光伏重磅！行业协会最新发声！,300274,阳光电源,光伏,attention_spread,2024-11-20,0.76,false,false,true,false,-0.024691,negative,P2
E135,S039,news,光伏重磅！行业协会最新发声！,600438,通威股份,光伏,attention_spread,2024-11-20,0.76,false,false,true,false,-0.052281,negative,P2
E136,S039,news,光伏重磅！行业协会最新发声！,688599,天合光能,光伏,attention_spread,2024-11-20,0.76,false,false,true,false,-0.006153,negative,P2
E137,S039,news,光伏重磅！行业协会最新发声！,002459,晶澳科技,光伏,attention_spread,2024-11-20,0.76,false,false,true,false,-0.018879,negative,P2
E138,S039,news,光伏重磅！行业协会最新发声！,002129,TCL中环,光伏,attention_spread,2024-11-20,0.76,false,false,true,false,-0.072581,negative,P2
E140,S041,policy,商务部等8部门办公厅关于做好2025年汽车以旧换新工作的通知_国务院部门文件_中国政府网,002594,比亚迪,整车,policy_support,2025-01-14,0.94,true,false,true,false,0.036257,positive,P1
E141,S041,policy,商务部等8部门办公厅关于做好2025年汽车以旧换新工作的通知_国务院部门文件_中国政府网,600104,上汽集团,整车,policy_support,2025-01-14,0.94,true,false,true,false,0.006583,positive,P1
E142,S041,policy,商务部等8部门办公厅关于做好2025年汽车以旧换新工作的通知_国务院部门文件_中国政府网,601633,长城汽车,整车,policy_support,2025-01-14,0.94,true,false,true,false,-0.041961,negative,P1
E143,S041,policy,商务部等8部门办公厅关于做好2025年汽车以旧换新工作的通知_国务院部门文件_中国政府网,601127,赛力斯,整车,policy_support,2025-01-14,0.94,true,false,true,false,0.006695,positive,P1
E144,S041,policy,商务部等8部门办公厅关于做好2025年汽车以旧换新工作的通知_国务院部门文件_中国政府网,000625,长安汽车,整车,policy_support,2025-01-14,0.94,true,false,true,false,-0.006421,negative,P1
E145,S042,announcement,关于2025年度计提资产减值准备及核销资产的公告,300438,鹏辉能源,锂电,earnings_quality_anomaly,2026-04-29,0.88,false,false,true,false,0.064504,positive,P2
E152,S045,policy,关于印发《新型储能规模化建设专项行动方案(2025—2027年)》的通知,605117,德业股份,储能,policy_support,2025-08-27,0.94,true,true,true,false,0.108764,positive,P1
E153,S045,policy,关于印发《新型储能规模化建设专项行动方案(2025—2027年)》的通知,300763,锦浪科技,储能,policy_support,2025-08-27,0.94,true,true,true,false,0.135735,positive,P1
E154,S045,policy,关于印发《新型储能规模化建设专项行动方案(2025—2027年)》的通知,688390,固德威,储能,policy_support,2025-08-27,0.94,true,true,true,false,0.116294,positive,P1
E155,S045,policy,关于印发《新型储能规模化建设专项行动方案(2025—2027年)》的通知,002335,科华数据,储能,policy_support,2025-08-27,0.94,true,true,true,false,-0.012288,negative,P1
E156,S045,policy,关于印发《新型储能规模化建设专项行动方案(2025—2027年)》的通知,688063,派能科技,储能,policy_support,2025-08-27,0.94,true,true,true,false,0.129359,positive,P1
E157,S046,announcement,上海璞泰来新能源科技集团股份有限公司关于投资建设年产72亿平方米锂离子电池隔膜建设项目的公告,603659,璞泰来,锂电,capacity_expansion,2026-05-21,0.90,false,false,true,false,-0.048107,negative,P1
E170,S049,policy,国家能源局关于印发《2025年能源工作指导意见》的通知_国务院部门文件_中国政府网,601012,隆基绿能,光伏,policy_support,2025-02-27,0.94,true,false,true,false,0.001754,positive,P1
E171,S049,policy,国家能源局关于印发《2025年能源工作指导意见》的通知_国务院部门文件_中国政府网,300274,阳光电源,光伏,policy_support,2025-02-27,0.94,true,false,true,false,-0.043478,negative,P1
E172,S049,policy,国家能源局关于印发《2025年能源工作指导意见》的通知_国务院部门文件_中国政府网,002202,金风科技,风电,policy_support,2025-02-27,0.94,true,false,true,false,-0.007786,negative,P1
E173,S049,policy,国家能源局关于印发《2025年能源工作指导意见》的通知_国务院部门文件_中国政府网,601615,明阳智能,风电,policy_support,2025-02-27,0.94,true,false,true,false,0.000955,positive,P1
E174,S049,policy,国家能源局关于印发《2025年能源工作指导意见》的通知_国务院部门文件_中国政府网,605117,德业股份,储能,policy_support,2025-02-27,0.94,true,false,true,false,-0.007188,negative,P1
E175,S049,policy,国家能源局关于印发《2025年能源工作指导意见》的通知_国务院部门文件_中国政府网,300763,锦浪科技,储能,policy_support,2025-02-27,0.94,true,false,true,false,-0.032393,negative,P1
E176,S050,announcement,关于购买股权暨投资建设磷酸铁锂一体化项目的公告,300073,当升科技,锂电,capacity_expansion,2026-04-16,0.90,false,false,true,false,0.017633,positive,P1
E188,S054,announcement,关于在自贡市投资建设锂电池隔离膜项目的进展公告,002812,恩捷股份,锂电,capacity_expansion,2026-06-10,0.90,false,false,true,false,0.153770,positive,P1
E189,S055,news,财联社汽车早报【5月26日】_腾讯新闻,002594,比亚迪,整车,attention_spread,2026-05-26,0.76,false,false,false,true,0.007917,positive,P2
E190,S055,news,财联社汽车早报【5月26日】_腾讯新闻,600104,上汽集团,整车,attention_spread,2026-05-26,0.76,false,false,false,true,0.001631,positive,P2
E197,S058,announcement,关于2025年度计提资产减值准备的公告,300450,先导智能,锂电,earnings_quality_anomaly,2026-03-31,0.88,false,false,true,false,0.044133,positive,P2
E198,S059,news,海上风电产业链上市公司接连中标-证券日报网,002202,金风科技,风电,capacity_expansion,2026-06-13,0.78,false,false,false,false,0.065490,positive,P1
E199,S059,news,海上风电产业链上市公司接连中标-证券日报网,601615,明阳智能,风电,capacity_expansion,2026-06-13,0.78,false,false,false,false,0.034110,positive,P1
E200,S059,news,海上风电产业链上市公司接连中标-证券日报网,688349,三一重能,风电,capacity_expansion,2026-06-13,0.78,false,false,false,false,-0.051511,negative,P1
E201,S059,news,海上风电产业链上市公司接连中标-证券日报网,002080,中材科技,风电,capacity_expansion,2026-06-13,0.78,false,false,false,false,0.312169,positive,P1
E202,S059,news,海上风电产业链上市公司接连中标-证券日报网,300772,运达股份,风电,capacity_expansion,2026-06-13,0.78,false,false,false,false,-0.041042,negative,P1
E204,S061,policy,2025年可再生能源并网运行情况,601012,隆基绿能,光伏,policy_support,2026-02-12,0.94,true,false,true,false,-0.004348,negative,P1
E205,S061,policy,2025年可再生能源并网运行情况,300274,阳光电源,光伏,policy_support,2026-02-12,0.94,true,false,true,false,-0.065015,negative,P1
E206,S061,policy,2025年可再生能源并网运行情况,002202,金风科技,风电,policy_support,2026-02-12,0.94,true,false,true,false,0.135729,positive,P1
E207,S061,policy,2025年可再生能源并网运行情况,601615,明阳智能,风电,policy_support,2026-02-12,0.94,true,false,true,false,-0.016436,negative,P1
E208,S062,announcement,关于2025年度计提信用减值准备及资产减值准备的公告,002202,金风科技,风电,earnings_quality_anomaly,2026-03-28,0.88,false,false,true,false,-0.117990,negative,P2
E209,S063,news,动力电池的2024年：产能装车率仅52% 价格持续下跌_腾讯新闻,300750,宁德时代,锂电,attention_spread,2025-01-17,0.76,false,false,false,true,0.022032,positive,P2
E210,S063,news,动力电池的2024年：产能装车率仅52% 价格持续下跌_腾讯新闻,300014,亿纬锂能,锂电,attention_spread,2025-01-17,0.76,false,false,false,true,-0.063174,negative,P2
E211,S063,news,动力电池的2024年：产能装车率仅52% 价格持续下跌_腾讯新闻,002074,国轩高科,锂电,attention_spread,2025-01-17,0.76,false,false,false,true,-0.011396,negative,P2
E212,S063,news,动力电池的2024年：产能装车率仅52% 价格持续下跌_腾讯新闻,603659,璞泰来,锂电,attention_spread,2025-01-17,0.76,false,false,false,true,-0.043971,negative,P2
E213,S063,news,动力电池的2024年：产能装车率仅52% 价格持续下跌_腾讯新闻,300450,先导智能,锂电,attention_spread,2025-01-17,0.76,false,false,false,true,0.022501,positive,P2
E214,S063,news,动力电池的2024年：产能装车率仅52% 价格持续下跌_腾讯新闻,002812,恩捷股份,锂电,attention_spread,2025-01-17,0.76,false,false,false,true,-0.061602,negative,P2
E215,S063,news,动力电池的2024年：产能装车率仅52% 价格持续下跌_腾讯新闻,300207,欣旺达,锂电,attention_spread,2025-01-17,0.76,false,false,false,true,0.022706,positive,P2
E216,S063,news,动力电池的2024年：产能装车率仅52% 价格持续下跌_腾讯新闻,300073,当升科技,锂电,attention_spread,2025-01-17,0.76,false,false,false,true,-0.017966,negative,P2
E217,S063,news,动力电池的2024年：产能装车率仅52% 价格持续下跌_腾讯新闻,300438,鹏辉能源,锂电,attention_spread,2025-01-17,0.76,false,false,false,true,-0.048825,negative,P2
E218,S063,news,动力电池的2024年：产能装车率仅52% 价格持续下跌_腾讯新闻,002594,比亚迪,整车,attention_spread,2025-01-17,0.76,false,false,false,true,0.000218,positive,P2
E219,S063,news,动力电池的2024年：产能装车率仅52% 价格持续下跌_腾讯新闻,600104,上汽集团,整车,attention_spread,2025-01-17,0.76,false,false,false,true,0.003574,positive,P2
E220,S063,news,动力电池的2024年：产能装车率仅52% 价格持续下跌_腾讯新闻,601633,长城汽车,整车,attention_spread,2025-01-17,0.76,false,false,false,true,-0.039310,negative,P2
E221,S063,news,动力电池的2024年：产能装车率仅52% 价格持续下跌_腾讯新闻,601127,赛力斯,整车,attention_spread,2025-01-17,0.76,false,false,false,true,-0.031130,negative,P2
E222,S063,news,动力电池的2024年：产能装车率仅52% 价格持续下跌_腾讯新闻,000625,长安汽车,整车,attention_spread,2025-01-17,0.76,false,false,false,true,-0.022329,negative,P2
E224,S065,policy,工业和信息化部等七部门关于加快推动制造业绿色化发展的指导意见_国务院部门文件_中国政府网,601012,隆基绿能,光伏,policy_support,2024-02-05,0.94,true,false,true,false,0.104236,positive,P1
E225,S065,policy,工业和信息化部等七部门关于加快推动制造业绿色化发展的指导意见_国务院部门文件_中国政府网,300274,阳光电源,光伏,policy_support,2024-02-05,0.94,true,false,true,false,0.057812,positive,P1
E226,S065,policy,工业和信息化部等七部门关于加快推动制造业绿色化发展的指导意见_国务院部门文件_中国政府网,300750,宁德时代,锂电,policy_support,2024-02-05,0.94,true,false,true,false,0.053891,positive,P1
E227,S065,policy,工业和信息化部等七部门关于加快推动制造业绿色化发展的指导意见_国务院部门文件_中国政府网,300014,亿纬锂能,锂电,policy_support,2024-02-05,0.94,true,false,true,false,0.104428,positive,P1
E228,S065,policy,工业和信息化部等七部门关于加快推动制造业绿色化发展的指导意见_国务院部门文件_中国政府网,605117,德业股份,储能,policy_support,2024-02-05,0.94,true,false,true,false,0.190632,positive,P1
E229,S065,policy,工业和信息化部等七部门关于加快推动制造业绿色化发展的指导意见_国务院部门文件_中国政府网,300763,锦浪科技,储能,policy_support,2024-02-05,0.94,true,false,true,false,0.107608,positive,P1
E230,S066,announcement,关于计提2025年度资产减值准备的公告,601615,明阳智能,风电,earnings_quality_anomaly,2026-04-29,0.88,false,false,true,false,0.133779,positive,P2
E243,S070,announcement,关于2026年第一季度计提资产减值准备的公告,300772,运达股份,风电,earnings_quality_anomaly,2026-04-25,0.88,false,false,true,false,0.030750,positive,P2
E244,S071,news,5月电池装车71.9GWh，宁德时代、比亚迪合计拿下超六成市场_腾讯新闻,300750,宁德时代,锂电,attention_spread,2026-06-15,0.76,false,false,false,true,-0.040036,negative,P2
E245,S071,news,5月电池装车71.9GWh，宁德时代、比亚迪合计拿下超六成市场_腾讯新闻,002594,比亚迪,整车,attention_spread,2026-06-15,0.76,false,false,false,true,-0.059214,negative,P2
E253,S074,announcement,三一重能关于2025年度计提资产减值准备的公告,688349,三一重能,风电,earnings_quality_anomaly,2026-04-23,0.88,false,false,true,false,0.000000,flat,P2
E265,S078,announcement,关于2025年度向特定对象发行股票的审核问询函回复及募集说明书等申请文件更新的提示性公告,002080,中材科技,风电,inquiry_letter_pressure,2026-06-24,0.88,false,false,true,false,,missing,P2
E276,S082,announcement,关于2025年第四季度计提资产减值准备的公告,688063,派能科技,储能,earnings_quality_anomaly,2026-04-01,0.88,false,false,true,false,-0.035434,negative,P2
E282,S085,policy,关于印发《电动汽车充电设施服务能力“三年倍增”行动方案(2025—2027年)》的通知(发改能源〔2025〕1250号),002594,比亚迪,整车,policy_support,2025-10-15,0.94,true,false,true,false,-0.030093,negative,P1
E283,S085,policy,关于印发《电动汽车充电设施服务能力“三年倍增”行动方案(2025—2027年)》的通知(发改能源〔2025〕1250号),600104,上汽集团,整车,policy_support,2025-10-15,0.94,true,false,true,false,-0.019655,negative,P1
E284,S085,policy,关于印发《电动汽车充电设施服务能力“三年倍增”行动方案(2025—2027年)》的通知(发改能源〔2025〕1250号),300750,宁德时代,锂电,policy_support,2025-10-15,0.94,true,false,true,false,0.014865,positive,P1
E285,S085,policy,关于印发《电动汽车充电设施服务能力“三年倍增”行动方案(2025—2027年)》的通知(发改能源〔2025〕1250号),300014,亿纬锂能,锂电,policy_support,2025-10-15,0.94,true,false,true,false,-0.033229,negative,P1
E286,S085,policy,关于印发《电动汽车充电设施服务能力“三年倍增”行动方案(2025—2027年)》的通知(发改能源〔2025〕1250号),605117,德业股份,储能,policy_support,2025-10-15,0.94,true,false,true,false,-0.015619,negative,P1
E287,S085,policy,关于印发《电动汽车充电设施服务能力“三年倍增”行动方案(2025—2027年)》的通知(发改能源〔2025〕1250号),300763,锦浪科技,储能,policy_support,2025-10-15,0.94,true,false,true,false,-0.045455,negative,P1
E300,S090,announcement,关于全资项目子公司股权转让涉及2022年度向特定对象发行股票募投项目的进展公告,300763,锦浪科技,储能,capacity_expansion,2026-06-09,0.90,false,false,true,false,0.001938,positive,P1
